,file,language,label,text
0,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,nl,Paragraph,Deli 4 Coﬀee Maker User Manual
1,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_1,How to use
2,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Subheader_0,Regular Function
3,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_0,AROMA Function
4,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,ON 1 2 To maximize the ﬂavour extraction and get a stronger coﬀee Decalcifying: Recommended 1x every 3 months With decalcifying agent 15 min Decalcifying ON ON
5,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Subheader_0,Cleaning
6,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,"While boiling, the jug must not be removed for longer than 30 seconds or the ﬁlter will overﬂow. Thermal Jar Glass Jar 30s ON Never immerse the thermo jug in liquid or wash it in dishwasher.* It can only be washed under running water Max x10 Max x12 ”glass jar” just to make sure consumer can diﬀerentiate Warning! Thank you for choosing an AEG product. In order to ensure the best results, always use original AEG accessories and spare parts. They have been designed especially for your product. This product is designed with the environment in mind. All plastic parts are marked for recycling purposes. . Visit our website to: Get usage advice, brochures, trouble shooter, service information: www.aeg.com/webselfservice Register your product for better service: www.registeraeg.com Buy Accessories and Consumables for your appliance: www.aeg.com/shop . CUSTOMER CARE AND SERVICE When contacting Service, ensure that you have the following data available. The information can be found on the rating plate. Model, PNC, Serial Number. Warning / Caution-Safety information General information and tips Environmental information GB NL BG FR DE GR PT ES"
7,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_0,COMPONENTS
8,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,A B C D E F G H I J K *depending on model ON/OFF switch with power indicator light Water tank Water level indicator Hinged lid Filter holder with anti-drip valve Glass coﬀee jug* Warming plate* Power cord & plug Aroma button Measuring spoon Stainless steel thermo jug* A F G H B C I D E K J GB NL BG FR DE GR PT ES
9,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_0,GETTING STARTED
10,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,"1 2 3 4 5 6 Place the machine on a ﬂat surface. When starting the machine for the ﬁrst time, ﬁll the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper ﬁlter or coﬀee. Making coﬀee: open the lid and ﬁll the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper ﬁlter into ﬁlter basket and ﬁll it with ground coﬀee. There is a gauge for recommended number of spoons of coﬀee next to the water gauge. For medium-strength coﬀee, one measuring spoon (approx. 6-7 g) per cup is suﬀicient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will ﬂow into the ﬁlter. When water has stopped ﬂowing, the warming plate keeps the coﬀee hot until the machine is turned oﬀ with the ON/OFF switch. If the machine is not turned oﬀ manually, the Safety Auto-Oﬀ function turns it oﬀ after 40 minutes. If the jug is removed, the ﬁlter valve prevents coﬀee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the ﬁlter will overﬂow. The Aroma Selector extends the brewing time to maximize the ﬂavour extraction and get a stronger coﬀee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on. GB NL BG FR DE GR PT ES"
11,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_1,SAFETY ADVICE
12,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,"This appliance is not intended for use by persons (including children) with reduced physical, sensory or mental capabilities, or lack of experience and knowledge, unless they have been given supervision or instruction concerning use of the appliance by a person responsible for their safety. . Children should be supervised to ensure that they do not play with the appliance. . This appliance can be used by children aged from 8 years and above and persons with reduced physical, sensory or mental capabilities or lack of experience and knowledge if they have been given supervision or instruction concerning use of the appliance in a safe way and understand the hazards involved. Children shall not play with the appliance. . Cleaning and user maintenance shall not be made by children without supervision."
13,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_0,CLEANING AND CARE
14,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,"1 2 3 4 5 Switch the machine oﬀ and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coﬀee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the ﬁlter holder (E), lift up the handle and remove the ﬁlter holder. To clean the ﬁlter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalciﬁer according to product instructions, then follow steps 9 and 10. Place the coﬀee jug (F) with its lid onto the warming plate (G). Allow the decalciﬁer to take eﬀect for about 15 minutes, then switch the machine on. Switch it oﬀ when the solution has ﬁnished ﬂowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coﬀee jug (F), jug lid and ﬁlter holder (E) under running water, activate the ﬁlter valve repeatedly during the rinse process. GB NL BG FR DE GR PT ES The appliance may only be connected to a power supply whose voltage and frequency comply with the speciﬁcations on the rating plate! Never use or pick up the appliance if – the supply cord is damaged, – the housing is damaged. The appliance must only be connected to an earthed socket. . If necessary an extension cable suitable for 10 A can be used. If the appliance or the supply cord is damaged, it must be replaced by the manufacturer, its service agent or similarly qualiﬁed person, in order to avoid hazard. . Always place the appliance on a ﬂat, level surface. . Never leave the appliance unattended while connected to the supply mains. . The appliance must be switched oﬀ and the mains plug withdrawn each time after use, before cleaning and maintenance. . The appliance and accessories become hot during operation. Use only designated handles and knobs. Allow to cool down before or storage. The mains cable must not come into contact with any hot parts of the appliance. . Do not immerse the appliance in water or any other liquid. Do not exceed the maximum ﬁlling volume as indicated on the appliances. Do not use or place the appliance on a hot surface or near source of heat. This appliance is intended to be used in household and similar applications such as: – staﬀ kitchen areas in shops, oﬀices and other working environments; – farm houses; – by clients in hotels, motels and other residential type environments; – bed and breakfast type environments. . The coﬀee maker shall not be placed in a cabinet when in use. . No action is needed to adapt the product to 50 or 60Hz. The product will adjust itself. GB NL BG FR DE GR PT ES Recycle the materials with the symbol. Put the packaging in applicable containers to recycle it. Help protect the environment and human health and to recycle waste of electrical and electronic appliances."
15,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_0,DISPOSAL
16,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,"This symbol on the product indicates that this product contains a battery which shall not be disposed with normal household waste. This symbol on the product or on its packaging indicates that the product may not be treated as household waste. To recycle your product, please take it to an oﬀicial collection point or to an AEG service center that can remove and recycle the battery and electric parts in a safe and professional way. Follow your country’s rules for the separate collection of electrical products and rechargeable batteries. AEG reserves the right to change products, information and speciﬁcations without notice Symptoms Possible causes The power supply is not connected or the ON/OFF switch is not turned on. No water in the water tank. Too much lime scale is formed in the water tank. The anti-drip valve in ﬁlter holder is obstructed by residual coﬀee powder. No paper coﬀee ﬁlter in the ﬁlter holder. Connect the power plug into an earthed wall socket and turn on the ON/OFF switch. Fill the water tank with cold water. Perform the decalcifying procedure. Remove the obstructing particles and clean the anti-drip valve. Always use a new paper coﬀee ﬁlter in the ﬁlter holder when brewing coﬀee. Coﬀee is not brewing. Filter holder is leaking. Coﬀee powder found in the coﬀee jug. Solution"
17,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Header_1,TROUBLESHOOTING
18,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Paragraph,"Благодарим ви, че избрахте продукт на AEG. За да гарантираме най-добри резултати, винаги използвайте оригинални принадлежности и резервни части на AEG Те са създадени специално за продукта. Продуктът е създаден да бъде екологичен. Всички пластмасови части са маркирани за целите на рециклирането. . Посетете нашия уебсайт, за да: получите съвети относно употребата, брошури, съвети за отстраняване на неизправности, информация за сервиз: www.aeg.com/webselfservice Регистрирайте своя продукт за по-добро обслужване: www.registeraeg.com Закупете принадлежности и консумативи за уреда си на: www.aeg.com/shop"
19,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,en,Paragraph,GB NL BG FR DE GR PT ES
20,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Header_0,.. ГРИЖИ И ОБСЛУЖВАНЕ НА КЛИЕНТИТЕ
21,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Paragraph,"Когато се обръщате към сервиза се уверете, че разполагате със следните данни: Информацията може да се намери на табелата с номинални стойности. Модел, PNC (номер на продукт), сериен номер. Предупреждение/Внимание – Информация за безопасност Обща информация и съвети Информация за околната среда GB NL BG FR DE GR PT ES GB NL BG FR DE GR PT ES"
22,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Header_0,КОМПОНЕНТИ
23,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Paragraph,A B C D E F G H I J K *в зависимост от модела Превключвател за ВКЛ./ИЗКЛ. с индикатор за захранване. Резервоар за вода Индикатор за нивото на водата Капак с панта Държач на филтър с клапан против изтичане на капки Стъклена кана за кафе Подгряваща плоча* Захранващ кабел и щепсел Бутон за аромат Мерителна лъжица Термо кана от неръждаема стомана* A F G H B C I D E K J GB NL BG FR DE GR PT ES
24,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Header_0,НАЧАЛНИ СТЪПКИ
25,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Paragraph,"1 2 3 4 5 6 Поставете машината на равна повърхност При първото стартиране на машината напълнете резервоара със студена вода. Стартирайте машината от превключвателя за ВКЛ./ИЗКЛ. Оставете пълен резервоар с вода да протече през машината веднъж или два пъти, за да я почистите без да използвате хартиен филтър или кафе. Правене на кафе: отворете капака и напълнете резервоара за вода с прясна вода до желаното ниво. В резервоара за вода има индикатор за 2–10 големи чаши / 3–15 малки чаши. Поставете хартиен филтър в кошницата за филтър и напълнете с мляно кафе. До обозначението за вода има обозначение за препоръчвания брой лъжици кафе. За кафе със средна сила е достатъчна една мерителна лъжица (приблизително 6-7 грама). Затворете капака на резервоара за вода и поставете каната (заедно с капака) върху плочата за подгряване. Стартирайте машината от превключвателя за ВКЛ./ИЗКЛ. Индикаторът на захранването светва и през филтъра протича гореща вода. Когато водата спре да тече, плочата за подгряване поддържа кафето топло, докато машината се изключи от превключвателя за ВКЛ./ИЗКЛ. Ако машината не се изключи ръчно, функцията за автоматично изключване за безопасност изключва машината след 40 минути. Ако извадите щепсела, клапанът на филтъра предотвратява изтичане на капки кафе върху нагревателната плоча. По време на приготвянето каната не трябва да се отстранява за повече от 30 секунди или филтърът ще се препълни. Селекторът на аромат удължава времето за приготвяне за максимизиране на извличането на вкус и по-силно кафе за малък брой чаши (обикновено по-малко от 6). При натискането на бутона за аромат, светва иконата за аромат. GB NL BG FR DE GR PT ES"
26,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Header_0,СЪВЕТ ОТНОСНО БЕЗОПАСНОСТТА
27,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Paragraph,"Този уред не е предназначен за употреба от лица (включително деца) с ограничени физически, сетивни или умствени възможности, с недостатъчен опит и познания, освен ако не се наблюдават или са им дадени инструкции за употребата на уреда от лице, отговорно за тяхната безопасност. Децата трябва да бъдат наблюдавани, за да се гарантира, че те не играят с уреда. Този уред може да се използва от деца на възраст от 8 и повече години, и от хора с намалени физически, сетивни или умствени способности, или с липса на опит и знания, ако им е осигурен надзор или инструкция относно използването на уреда по безопасен начин и те разбират свързаните"
28,/content/drive/MyDrive/vdu/manuals/aeg/aegX_single/1588918.pdf,bg,Header_1,ГРИЖA И ПОЧИСТВАНЕ
