,file,language,label,text
0,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_1,INTRODUCTION
1,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,Thank you for choosing this automatic coffee and cappuccino maker. We hope you enjoy using your new appliance. Take a few minutes to read these instructions. This will avoid all risks and damage to the machine.
2,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_2,Symbols used in these instructions
3,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,Important warnings are identified by these symbols. These warnings must absolutely be respected. Danger! Failure to observe the warning could result in possibly life threatening injury from electric shock. Important! Failure to observe the warning could result in injury or damage to the appliance. Danger Of burns! Failure to observe the warning could result in scalds or burns. Please note : This symbol identifies important advice or information for the user.
4,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_0,letters in brackets
5,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,The letters in brackets refer to the legend in the Description of the Appliance on page2-3.
6,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_3,Troubleshooting and repairs
7,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"In the event of problems, first try and resolve them following the information given in the section “Explanation of lights” on page 17 and “Troubleshooting” on page 18. If this does not resolve the problem or you require further information, you should consult Customer Services by calling the number given on the annexed “Customer Service” sheet. If your country is not among those listed on the sheet, call the number given in the guarantee. If repairs are required, contact De’Longhi Customer Services only. The addresses are given in the guarantee certificate provided with the appliance."
8,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_2,SAFETY
9,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_1,Fundamental safety warnings
10,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"Danger! This is an electrical appliance and may cause electric shock. You should therefore respect the following safety warnings: •	 Never	touch	the	appliance	with	damp	hands	or	feet.	 •		 Never	touch	the	plug	with	damp	hands.	 •		 Make	sure	the	socket	used	is	freely	accessible	at	all	times,	 enabling the appliance to be unplugged when necessary. •		 Unplug	directly	from	the	plug	only.		Never	pull	the	power	 cable as you could damage it. •		 To	disconnect	the	appliance	completely,	place	the	main	 switch at the back of the appliance in the 0 position (fig. 3). •		 If	the	appliance	is	faulty,	do	not	attempt	to	repair.		 Turn it off, unplug from the mains socket and contact Customer Services. •	 If	the	plug	or	power	cable	is	damaged,	it	must	be	replaced	 by De’Longhi Customer Services only to avoid all risk. Important! Keep all packaging (plastic bags, polystyrene foam) away from children. Important! The appliance is not intended for use by persons (including children) with reduced physical, sensory or mental capabilities, or lack of experience and knowledge, unless they have been given supervision or instruction concerning use of the appliance by a person responsible for their safety. Children should be supervised to ensure that they do not play with the appliance. Danger: burns! This appliance produces hot water and steam may form while it is in operation. Avoid contact with splashes of water or hot steam."
11,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_0,DESIGNATED USE
12,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"This appliance is designed and made to prepare coffee and heat drinks. All other use is considered improper. This appliance is not suitable for commercial use. The manufacturer is not liable for damage deriving from improper use of the appliance. This is an household appliance only. 8 It is not intended to be used in: •	 staff	kitchen	areas	in	shops,	offices	and	other	working	 environments; •	 farm	houses;	 •	 by	 clients	 in	 hotels,	 motels	 and	 other	 residential	 type	 environments; •	 bed	and	breakfast	type	environments."
13,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_1,INSTRUCTIONS
14,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"Read these instructions carefully before using the appliance. - Failure to follow these instructions may result in burns or damage to the appliance. The manufacturer is not liable for damage deriving from failure to respect these instructions. Please note : Keep these instructions. If the appliance is passed to other persons, they must also be provided with these instructions."
15,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_0,DESCRIPTION
16,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_2,Description of the appliance
17,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,(page 3 - A ) A1. Control panel A2. Grinding adjustment dial A3. Cup shelf A4. Beans container lid A5. Pre-ground coffee funnel lid A6. Pre-ground coffee funnel A7. Beans container A8. Main switch A9. Water tank A10. Infuser door A11. Infuser A12. Coffee spout (adjustable height) A13. Coffee grounds container A14. Condensate tray A15. Cup tray A16. Drip tray water level indicator A17. Drip tray A18. Cappuccino maker A19. Steam/hot water dial
18,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_1,Description of the control panel
19,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,(page 2 - B ) B1. Lights B2. button: turns the appliance on and off. B3. button: to make 1 cup of espresso coffee B4. button: to make 2 cups of espresso coffee B5. button: to rinse or descale the appliance B6. Selection dial: turn to select the required quantity of coffee or use pre-ground coffee B7. button: to deliver steam to make hot drinks with milk. B8. button: to make 1 cup of espresso coffee B9. button: to make 2 cups of espresso coffee
20,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_0,Description of the accessories
21,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,(pag. 2 - C ) C1. Measure C2. Descaler bottle C3. Water softener filter (some models only) 9
22,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_3,Description of lights Light flashing:
23,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,the machine is heating up or a rinse cycle is underway. The appliance is delivering one or two cups of espresso coffee. The appliance is delivering one or two cups of long coffee. Light on steadily: the “steam” function has been selected; Light flashing: you must turn the steam dial. An alarm is displayed on the control panel (see the section: “Explanation of lights” on page 17). Light on steadily: the grounds container is missing and must be inserted in the appliance; Light flashing: the grounds container is full and must be emptied. Light on steadily: the water tank is missing; Light flashing: there is not enough water in the tank. Light flashing: the appliance must be descaled (see the section “Descaling”). Light on steadily: the appliance is performing a descaling cycle. ECO ECO “Energy Saving” mode is active.
24,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_0,PRElImINARY ChECkS
25,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_2,Checking the appliance
26,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"After removing the packaging, make sure the product is complete and undamaged and that all accessories are present. Do not use the appliance if it is visibly damaged. Contact De’Longhi Customer Services."
27,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_0,Installing the appliance
28,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"Important! When installing the appliance, respect the following safety warnings: •	 	The	appliance	could	be	damaged	if	the	water	it	contains	 freezes. Do not install the appliance in a room where the temperature could drop below freezing point. •		 The	appliance	gives	off	heat.		 After positioning the appliance on the worktop, leave a space of at least 3 cm between the surfaces of the appliance and the side and rear walls and at least 15 cm above the coffee maker. •		 Water	penetrating	the	coffee	maker	could	cause	damage.		 Do not place the appliance near taps or sinks. •		 Arrange	the	power	cable	in	such	a	way	that	it	cannot	be	 damaged by sharp edges or contact with hot surfaces (e.g. electric hot plates)."
29,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_1,Connecting the appliance
30,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"Important! Check that the mains power supply voltage corresponds to the value indicated on the rating plate on the bottom of the appliance. Connect	the	appliance	to	an	efficiently	earthed	and	correctly	 installed socket with a minimum current rating of 10A only. If the power socket does not match the plug on the appliance, have the socket replaced with a suitable type by a qualified professional. 10"
31,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Subheader_0,Using the appliance for the first time
32,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"Please note : •	 Coffee	has	been	used	to	factory	test	the	appliance	and	it	 is therefore completely normal for there to be traces of coffee in the mill. The machine is, however, guaranteed to be new. •		 You	should	customise	water	hardness	as	soon	as	possible	 following the instructions in the section “Setting water hardness” on page 16. Follow the instructions: 1. Remove the water tank, fill to the MAX line with fresh water (fig. 1A) then put back in the appliance (fig. 1B). 2. Place a container with a minimum capacity of 100 ml under the cappuccino maker (fig. 2). 3. Plug the appliance into the mains socket and place the main switch on the back of the appliance in the I position (fig. 3). 4. The light flashes on the control panel (fig. 4). 5. 5. Turn the steam dial to the “I” position (fig. 5). The appliance delivers water from the cappuccino maker then goes off. 6. Turn the steam dial to the “0” position. The coffee maker is now ready for normal use. Please note : •	 When	using	the	appliance	for	the	first	time,	you	need	to	 make 4-5 cups of coffee or 4-5 cappuccinos before the appliance starts to give satisfactory results."
33,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_0,TURNING ThE APPlIANCE ON
34,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Paragraph,"Please note : •	 Before	 turning	 the	 appliance	 on,	 make	 sure	 the	 main	 switch on the back of the appliance is in the I position (fig. 3). •	 Each	 time	 the	 appliance	 is	 turned	 on,	 it	 performs	 an	 automatic preheat and rinse cycle which cannot be interrupted. The appliance is ready for use only after completion of these cycles. Danger Of burns! During rinsing, a little hot water comes out of the coffee spouts and is collected in the drip tray underneath. Avoid contact with splashes of water. •	 To	 turn	 the	 appliance	 on,	 press	 the	 (fig. 6): The corresponding light flashes while the appliance is heating up and performing an automatic rinse cycle (by circulating hot water, the appliance heats both the boiler and the internal circuits). The appliance is at temperature when the light goes off and the lights corresponding to the coffee buttons come on."
35,/content/drive/MyDrive/vdu/manuals/delonghi/delongiX_multi/2_ECAM21117B-167643.pdf,en,Header_1,TURNING ThE APPlIANCE OFF
