,file,language,label,text
0,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Header_0,1. BESCHREIBUNG (Seite 3)
1,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Paragraph,Die folgenden Begriffe werden auf den nächsten Seiten ständig verwendet. 1.1 Beschreibung des Gerätes A1. Wassertankdeckel A2. Griff zur Entnahme des Wassertanks A3. Wassertank A4. Tassenwärmer A5. Kaffeeauslauf A6. EIN/AUS-Schalter A7. Tassenrost A8. Wasserstandanzeige der Abtropfschale A9. Abtropfschale A10. Rost für Kaffeebecher oder Gläser A11. Ausgabeknopf für Dampf A12. Heißwasser-/Dampfauslauf A13. Heißwasser-/Dampfdüse A14. Stellring des Milchaufschäumers A15. Anschluss Heißwasser-/Dampfrohr
2,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Subheader_0,1.2 Beschreibung der Bedienblende
3,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Paragraph,B1. Ausgabetaste für eine Tasse B2. Integrierte Betriebsleuchte (weiß) B3. Ausgabetaste für zwei Tassen B4. Integrierte Betriebsleuchte (weiß) B5. Taste Dampffunktion B6. Integrierte Betriebsleuchte (weiß) B7. Kontrolllampe Entkalkung (orange)
4,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Subheader_1,1.3 Beschreibung der Zubehörteile C1. Siebträger
5,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Paragraph,"C2. 1-Tassen-Sieb (unter dem Sieb aufgedrucktes Symbol ) C3. 2-Tassen-Sieb (unter dem Sieb aufgedrucktes Symbol ) C4. Pad-Sieb (unter dem Sieb aufgedrucktes Symbol ) C5. Stopfer C6. Wasserfilter (*nicht im Lieferumfang enthalten, ist bei autorisierten Kundendienstzentren erhältlich) C7. Milchkanne"
6,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Header_1,2. FÜLLEN DES WASSERTANKS
7,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Paragraph,"Hinweis: Waschen Sie vor der ersten Inbetriebnahme des Gerätes alle Zubehörteile und den Wassertank sorgfältig mit warmem Wasser. 1. Ziehen Sie den Wassertank nach oben heraus (Abb. 1). 2. Öffnen Sie den Deckel und füllen Sie den Wassertank bis zur Markierungslinie MAX mit frischem, sauberem Wasser (Abb. 2). Setzen Sie den Tank wieder ein, indem Sie ihn leicht andrücken, damit sich die Ventile am Boden des Tanks öffnen. 3. Wenn Sie möchten, können Sie den Wassertank auch fül- len, ohne ihn herauszuziehen, indem das Wasser mit einer Karaffe direkt eingefüllt wird. Achtung: Das Gerät nie mit leerem Wassertank oder ohne Wassertank in Betrieb setzen. Hinweis: Es ist vollkommen normal, dass sich im Fach unter dem Wasser- tank Wasser befindet; dieses Fach muss daher gelegentlich mit einem sauberen Schwamm getrocknet werden."
8,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Header_2,3. ERSTE INBETRIEBNAHME DES GERÄTES
9,/content/drive/MyDrive/vdu/manuals/delonghi/delongiY_multi/ec785bg_dedica_metallics_siebträger_inkl_zubehör_ec785bg_instruction_manuals_german.pdf,de,Paragraph,"Bei ersten Gebrauch müssen die internen Kreisläufe des Gerätes wie folgt durchgespült werden: 1. Das Gerät durch Drücken des EIN/AUS-Schalters einschal- ten (Abb. 3): das Gerät führt eine Selbstdiagnose durch, die durch aufeinanderfolgendes Aufblinken der drei Tasten angezeigt wird. 2. Die Kontrolllampen und blinken, wodurch an- gezeigt wird, dass das Gerät aufheizt: wenn die Kontrolll- ampen aufhören zu blinken und permanent eingeschaltet bleiben, ist das Gerät zum Durchspülen des Kreislaufs bereit. 3. Rasten Sie den Siebträger an der Kaffeemaschine ein (Abb. 9). 4. Positionieren Sie einen Behälter mit mindestens 0,5 l Fas- sungsvermögen unter den Kaffeeauslauf (A5) (abb.4) und drücken Sie die Taste . Wiederholen Sie diesen Vor- gang fünfmal. 5. Leeren Sie den Behälter und positionieren Sie ihn unter dem Heißwasser-/Dampfauslauf (A12) (Abb. 4). 6. Drehen Sie den Ausgabeknopf für Heißwasser/Dampf auf Position (Abb. 5) und geben Sie Heißwasser aus, bis der Wassertank (A3) leer ist; schließen Sie dann den Ausgabeknopf wieder, indem Sie ihn auf Odrehen."
