,file,language,label,text
0,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,ca,Paragraph,1 Control elements 4
1,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Paragraph,E4 (EA/SA/INTA) Instructions for Use
2,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,ca,Header_0,1 Control elements
3,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,ca,Paragraph,4 1 2 14 13 15 12 5 3 6 7 8 9 10 11
4,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Paragraph,1 Control elements 5 q On/Off button Q w Bean container with aroma preservation cover e Switch for hot water preparation r Height-adjustable coffee spout t Height-adjustable hot-water spout z Cup grille u Drip tray i Coffee grounds container o Mains cable (permanently connected or plug-in) p Water tank a Water tank cover s Service socket for optional JURA WiFi Connect d Filler funnel for ground coffee f Filler funnel cover g Grinder adjustment switch h Measuring spoon for ground coffee
5,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Subheader_0,Symbol display and buttons
6,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Paragraph,f Programming mode button i ‘Small cup’ button o ‘Large cup’ button s Coffee strength button & Descaling symbol L Cleaning symbol ! Filter symbol u Water Tank symbol ü Drip tray symbol 4 WiFi symbol s Coffee Strength symbol £ Ground Coffee symbol h 2 For your safety 6
7,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Header_0,2 For your safety
8,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Paragraph,"Before using the machine, read these instructions for use thoroughly and completely and comply with the instructions they contain. Keep these instructions for use close to the machine and pass them on to the next user. Failure to observe the instructions for use may result in serious injuries or damage to property. Safety information is therefore indicated as fol- lows: J WARNING Indicates circumstances that may result in serious injuries or death. J CAUTION Indicates circumstances that may result in minor injuries. CAUTION Indicates circumstances that may result in damage to property. The machine is intended for private domestic use. It is intended only for coffee and hot water prepa- ration. Use for any other purpose will be deemed improper. People, including children, who U do not have the physical, sensory or mental capabilities to use the machine safely or U are inexperienced or lack knowledge must be supervised by a responsible person when using it, or must be instructed in how to use it correctly."
9,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Subheader_2,Comply with the instructions for use
10,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Subheader_1,Proper use
11,/content/drive/MyDrive/vdu/manuals/jura/juraX_single/e4_easainta_instructions_for_use_en.pdf,en,Subheader_0,User limitations
