id,title,context,question,answers,answer_start
0,Test_0,"This machine is a fully automatic coffee machine.
Depending on the machine equipment level, the following
products can be dispensed:
? Coffee products
? Instant products
? Hot water
The housing consists of stainless steel and high-quality
plastic. The design of this machine facilitates compliance
with the following operator requirements:
? HACCP hygiene guidelines
? Accident prevention regulations for electrical safety
in the commercial sector",Which products can be dispensed?,['Coffee products\n? Instant products\n? Hot water'],133
1,Test_1,"This machine is not intended for the following uses:
 In areas with high air humidity (e.g., areas with considerable
amounts of steam) or outdoors.
 On board vehicles or mobile facilities (please contact
the manufacturer).",Can I use this machine outdoors?,"['This machine is not intended for the following uses:\n\x95 In areas with high air humidity (e.g., areas with considerable\namounts of steam) or outdoors.']",0
2,Test_2,"Machine specifications
Dimensions
(W x D x H)
400 x 510 x 860 mm
Weight approx. 50 kg
Coffee supply 2 x 5 l / 2 x approx. 1600 g
Instant supply 2 x 1.7 l / 2 x approx.
1300 g
Coffee grounds drawer
capacity
For approx. 30 portions","What is the coffee grounds drawer?
capacity",['approx. 30 portions'],210
3,Test_3,"Machine specifications
Dimensions
(W x D x H)
400 x 510 x 860 mm
Weight approx. 50 kg
Coffee supply 2 x 5 l / 2 x approx. 1600 g
Instant supply 2 x 1.7 l / 2 x approx.
1300 g
Coffee grounds drawer
capacity
For approx. 30 portions",What is the coffee supply?,['2 x 5 l / 2 x approx. 1600 g'],100
4,Test_4,"Operating data
Hourly output approx. 25 l hot water or approx. 100 cups of Café Crème (125 ml)
Permissible ambient temperature + 5-30 °C
Permissible air humidity  < 80 % non-condensing
Noise level < 70 dB(A)
Electrical connection Power supply 200-240 V, 50-60 Hz
Power consumption 2100-2900 W
Fuse protection provided by customer  16 A (required)
Connection  2 m mains cable with shockproof
mains plug",What is the noise level of the machine?,['< 70 dB(A)'],197
5,Test_5,"Operating data
Hourly output approx. 25 l hot water or approx. 100 cups of Café Crème (125 ml)
Permissible ambient temperature + 5-30 °C
Permissible air humidity  < 80 % non-condensing
Noise level < 70 dB(A)
Electrical connection Power supply 200-240 V, 50-60 Hz
Power consumption 2100-2900 W
Fuse protection provided by customer  16 A (required)
Connection  2 m mains cable with shockproof
mains plug",What is the power consumption of the machine?,['2100-2900 W'],281
6,Test_6,"Operating data
Hourly output approx. 25 l hot water or approx. 100 cups of Café Crème (125 ml)
Permissible ambient temperature + 5-30 °C
Permissible air humidity  < 80 % non-condensing
Noise level < 70 dB(A)
Electrical connection Power supply 200-240 V, 50-60 Hz
Power consumption 2100-2900 W
Fuse protection provided by customer  16 A (required)
Connection  2 m mains cable with shockproof
mains plug",How much power supply is needed tor the machine to function?,"['200-240 V, 50-60 Hz']",243
7,Test_7,"Operating data
Hourly output approx. 25 l hot water or approx. 100 cups of Café Crème (125 ml)
Permissible ambient temperature + 5-30 °C
Permissible air humidity  < 80 % non-condensing
Noise level < 70 dB(A)
Electrical connection Power supply 200-240 V, 50-60 Hz
Power consumption 2100-2900 W
Fuse protection provided by customer  16 A (required)
Connection  2 m mains cable with shockproof
mains plug",What is the fuse protection specification?,['16 A (required)'],331
8,Test_8,"The machine is set up, installed, and handed over ready for use by customer service. Due to the associated hazards, modifications to the installation or setup must be carried out by customer service only.",How do I make changes to the installation of the machine?,"[' Due to the associated hazards, modifications to the installation or setup must be carried out by customer service only.']",84
9,Test_9,"Green user chip key
The green user chip keys can be used to carry out the
following actions:
Switching on/off the machine.
Changing the filling levels.
Carrying out a full cleaning of the machine.
Cleaning the touch screen.
Rinsing the mixer unit.
Viewing and editing the weekly planner",What is the purpose of the green chip?,['Switching on/off the machine.\nChanging the filling levels.\nCarrying out a full cleaning of the machine.\nCleaning the touch screen.\nRinsing the mixer unit.\nViewing and editing the weekly planner'],93
10,Test_10,"Yellow manager chip key
The yellow manager chip key provides the same options as the user chip key. The following additional actions can be carried out: making settings on the machine, editing the dispensing products, creating/editing product groups, displaying consumption and product statistics.",What is the yellow chip used for?,"['making settings on the machine, editing the dispensing products, creating/editing product groups, displaying consumption and product statistics']",153
11,Test_11,"Off: Machine is switched off and can be switched on with the main switch (see chapter 5.3.1 on page 11). White flashing: Machine switches on. White permanently: Machine is ready for dispensing. Red: Machine is in stand-by operation. To switch on see chapter 5.3.2 on page 11. Blue flashing or permanently: Malfunction: Switch off the machine with the main switch and switch it on again. If this occurs repeatedly, contact customer service.",What does it mean when the LED is white flashing?,['Machine switches on'],121
12,Test_12,"Off: Machine is switched off and can be switched on with the main switch (see chapter 5.3.1 on page 11). White flashing: Machine switches on. White permanently: Machine is ready for dispensing. Red: Machine is in stand-by operation. To switch on see chapter 5.3.2 on page 11. Blue flashing or permanently: Malfunction: Switch off the machine with the main switch and switch it on again. If this occurs repeatedly, contact customer service.",What does it mean when the LED is white permanently?,['Machine is ready for dispensing'],161
13,Test_13,"Off: Machine is switched off and can be switched on with the main switch (see chapter 5.3.1 on page 11). White flashing: Machine switches on. White permanently: Machine is ready for dispensing. Red: Machine is in stand-by operation. To switch on see chapter 5.3.2 on page 11. Blue flashing or permanently: Malfunction: Switch off the machine with the main switch and switch it on again. If this occurs repeatedly, contact customer service.",What does it mean when the LED is red?,['Machine is in stand-by operation'],199
14,Test_14,"Off: Machine is switched off and can be switched on with the main switch (see chapter 5.3.1 on page 11). White flashing: Machine switches on. White permanently: Machine is ready for dispensing. Red: Machine is in stand-by operation. To switch on see chapter 5.3.2 on page 11. Blue flashing or permanently: Malfunction: Switch off the machine with the main switch and switch it on again. If this occurs repeatedly, contact customer service.",What does it mean when the LED is blue flashing?,['Malfunction: Switch off the machine with the main switch and switch it on again'],306
15,Test_15,"Off: Machine is switched off and can be switched on with the main switch (see chapter 5.3.1 on page 11). White flashing: Machine switches on. White permanently: Machine is ready for dispensing. Red: Machine is in stand-by operation. To switch on see chapter 5.3.2 on page 11. Blue flashing or permanently: Malfunction: Switch off the machine with the main switch and switch it on again. If this occurs repeatedly, contact customer service.",What does it mean when the LED is permanently blue?,"['Malfunction: Switch off the machine with the main switch and switch it on again. If this occurs repeatedly, contact customer service.']",306
16,Test_16,"Once per day a cleaning of the full system is required. For the automatic cleaning prompt on the display either set cleaning times (Times) or state the latest time of day (1x / day). Additionally, if enabled by customer service, set a weekend operation. With this you can temporarily suspend the daily cleaning prompt (machine components will be deactivated if necessary). The begin of a weekend operation must be confirmed. If required, a cleaning will be performed.",How often should I wash my appliance?,['Once per day'],0
17,Test_17,Only use the cleaning agents listed as these are best suited to the automatic cleaning program: Melitta® Cafina® Multi TF-Tabs (art. no. 31547),Which cleaning agent is to be used to clean the machine?,['Melitta® Cafina® Multi TF-Tabs (art. no. 31547)'],96
18,Test_18,"After every 30,000 cups or twelve months of operation (whichever occurs first), the machine and all accessory units must be serviced by customer service (for a fee).",How often should the machine be serviced?,"['After every 30,000 cups or twelve months of operation (whichever occurs first)']",0
19,Test_19,"Switch on the appliance by briefly pressing the ""On/Off"" button. The appliance performs automatic rinsing while it heats up.
Place a vessel under the outlet if possible. You can switch off the appliance by pressing the ""On/Off"" button for approximately
2 seconds. If you do not switch off the appliance, it will switch off automatically after a defined off time.",How do I switch off the machine?,"['You can switch off the appliance by pressing the ""On/Off"" button for approximately\n2 seconds']",170
20,Test_20,The appliance has two service modes. The service modes allow you to configure your appliance and use care and maintenance functions.,How many service modes does the appliance have?,['two'],18
21,Test_21,Only connect the appliance to a properly installed earthing contact socket. The earthing contact socket must be protected by a fuse with a rating of at least 10 A.,What is the specification of the fuse?,['at least 10 A'],149
22,Test_22,"The Water display lights up. The quality of the tap water largely determines the flavour of the coffee. Fill the water tank only with fresh, cold tap water that has not been carbonated. Change the tap water on a daily basis. Please observe
the maximum filling level.",Can the water tank be filled with carbonated water?,"['Fill the water tank only with fresh, cold tap water that has not been carbonated']",104
23,Test_23,Important! Do not use freeze-dried or caramelised coffee beans as they can clog the grinder. Coffee powder and instant products can also damage the grinder.,Can I use caramelised coffee beans?,['Do not use freeze-dried or caramelised coffee beans as they can clog the grinder'],11
24,Test_24,"You can prepare two cups at the same time with all of the beverages. To do so, you simply need to press the respective direct key briefly twice in succession. The 2. display lights up during preparation. The Steam dispensing display flashes in addition for milk beverages.",How to prepare two beverages simultaneously?,['press the respective direct key briefly twice in succession'],98
25,Test_25,"You can still change the brewing strength and the beverage quantity before and during preparation. You can set the brewing strength by pressing the ""Brewing Strength"" button. After the grinding process, you can no longer change the brewing strength. The changed brewing strength will also be used for subsequent coffee preparation processes. You can change the beverage quantity by turning the ""Coffee Quantity"" regulator.",How to change the beverage strength?,"['by pressing the ""Brewing Strength"" button']",132
26,Test_26,"You can still change the brewing strength and the beverage quantity before and during preparation. You can set the brewing strength by pressing the ""Brewing Strength"" button. After the grinding process, you can no longer change the brewing strength. The changed brewing strength will also be used for subsequent coffee preparation processes. You can change the beverage quantity by turning the ""Coffee Quantity"" regulator.",How do I change the beverage quantity?,"['by pressing the ""Brewing Strength"" button']",132
27,Test_27,"You should clean the brewing unit every week. 1. Remove the cover by reaching into the handle recess and pulling the cover to
the side. 2. Press and hold the red lever on the brewing unit handle and turn the handle clockwise until it engages at the stop. 3. Pull the brewing unit out by the handle.",How often should the brewing unit be cleaned?,['every week'],34
28,Test_28,You should clean the milk system after approximately 100 milk beverages. This appliance does not prompt you to clean the milk system. Only use Melitta® Perfect Clean milk system cleaning agent for automatic coffeemakers. Use a vessel with a capacity of at least 500 ml as a collecting container.,How often should the milk system be cleaned?,['after approximately 100 milk beverages'],33
29,Test_29,You should clean the milk system after approximately 100 milk beverages. This appliance does not prompt you to clean the milk system. Only use Melitta® Perfect Clean milk system cleaning agent for automatic coffeemakers. Use a vessel with a capacity of at least 500 ml as a collecting container.,What cleaning agent should be used to clean the milk system?,['Melitta® Perfect Clean milk system cleaning agent'],143
30,Test_30,You should clean the milk system after approximately 100 milk beverages. This appliance does not prompt you to clean the milk system. Only use Melitta® Perfect Clean milk system cleaning agent for automatic coffeemakers. Use a vessel with a capacity of at least 500 ml as a collecting container.,How large should the collecting container be?,['at least 500 ml'],253
31,Test_31,"This cleaning program is used to remove residues and coffee oil residues. You should run the program every two months or when the appliance asks you to do so. Only use Melitta® Perfect Clean cleaning tabs for automatic coffeemakers. Observe the instructions on the packaging of the cleaning tabs. Caution! Cleaning agent causes eye irritation. If it accidentally comes into contact with your eyes, you should rinse them with clear water for several minutes. Consult a doctor if symptoms persist. The program takes approximately 15 minutes and should not be interrupted. The program runs in several stages. Progress is indicated by the number of coffee beans displayed.",How often should I run the cleaning program?,['every two months'],101
32,Test_32,"This cleaning program is used to remove residues and coffee oil residues. You should run the program every two months or when the appliance asks you to do so. Only use Melitta® Perfect Clean cleaning tabs for automatic coffeemakers. Observe the instructions on the packaging of the cleaning tabs. Caution! Cleaning agent causes eye irritation. If it accidentally comes into contact with your eyes, you should rinse them with clear water for several minutes. Consult a doctor if symptoms persist. The program takes approximately 15 minutes and should not be interrupted. The program runs in several stages. Progress is indicated by the number of coffee beans displayed.",What cleaning agent is to be used for the cleaning? program+B44:B50,['Melitta® Perfect Clean cleaning tabs'],168
33,Test_33,"This cleaning program is used to remove residues and coffee oil residues. You should run the program every two months or when the appliance asks you to do so. Only use Melitta® Perfect Clean cleaning tabs for automatic coffeemakers. Observe the instructions on the packaging of the cleaning tabs. Caution! Cleaning agent causes eye irritation. If it accidentally comes into contact with your eyes, you should rinse them with clear water for several minutes. Consult a doctor if symptoms persist. The program takes approximately 15 minutes and should not be interrupted. The program runs in several stages. Progress is indicated by the number of coffee beans displayed.",How long is the cleaning program?,['approximately 15 minutes'],514
34,Test_34,"The descaling program is used to remove limescale deposits. You should run the program every three months or when the appliance asks you to do so. There must not be a water filter in the water tank during descaling. If you use a water filter, you need to remove it before descaling (see section 7.7, page 29). Only use Melitta® Anti Calc liquid descaling agent for automatic coffeemakers. Caution! Descaling agent causes eye irritation. If it accidentally comes into contact with your eyes, you should rinse them with clear water for several minutes. Consult a doctor if symptoms persist. The program takes approximately 15 minutes and should not be interrupted. The program runs in several stages. Progress is indicated by the number of coffee beans displayed.",What is the use of the descaling program?,['to remove limescale deposits'],30
35,Test_35,"The descaling program is used to remove limescale deposits. You should run the program every three months or when the appliance asks you to do so. There must not be a water filter in the water tank during descaling. If you use a water filter, you need to remove it before descaling (see section 7.7, page 29). Only use Melitta® Anti Calc liquid descaling agent for automatic coffeemakers. Caution! Descaling agent causes eye irritation. If it accidentally comes into contact with your eyes, you should rinse them with clear water for several minutes. Consult a doctor if symptoms persist. The program takes approximately 15 minutes and should not be interrupted. The program runs in several stages. Progress is indicated by the number of coffee beans displayed.",How long is the descaling program?,['approximately 15 minutes '],607
36,Test_36,"The descaling program is used to remove limescale deposits. You should run the program every three months or when the appliance asks you to do so. There must not be a water filter in the water tank during descaling. If you use a water filter, you need to remove it before descaling (see section 7.7, page 29). Only use Melitta® Anti Calc liquid descaling agent for automatic coffeemakers. Caution! Descaling agent causes eye irritation. If it accidentally comes into contact with your eyes, you should rinse them with clear water for several minutes. Consult a doctor if symptoms persist. The program takes approximately 15 minutes and should not be interrupted. The program runs in several stages. Progress is indicated by the number of coffee beans displayed.",Which descling agent is to be used for the descaling program?,['Melitta® Anti Calc liquid descaling agent'],319
37,Test_37,"The descaling program is used to remove limescale deposits. You should run the program every three months or when the appliance asks you to do so. There must not be a water filter in the water tank during descaling. If you use a water filter, you need to remove it before descaling (see section 7.7, page 29). Only use Melitta® Anti Calc liquid descaling agent for automatic coffeemakers. Caution! Descaling agent causes eye irritation. If it accidentally comes into contact with your eyes, you should rinse them with clear water for several minutes. Consult a doctor if symptoms persist. The program takes approximately 15 minutes and should not be interrupted. The program runs in several stages. Progress is indicated by the number of coffee beans displayed.",How do I know the progress of the descaling program?,['Progress is indicated by the number of coffee beans displayed'],699
38,Test_38,"The use of a water filter extends the service life of your appliance. The water filter filters calcium and pollutants out of the tap water. If you use a water filter and change it on a regular basis, you will need to descale the appliance only once per year. This information is based on an average of six 120 ml coffee beverages per day and six filter changes per year. Only use Melitta® Pro Aqua filter cartridges for automatic coffeemakers. Observe the instructions on the packaging of the filter cartridge.",What doesthe water filter do?,['filters calcium and pollutants out of the tap water'],87
39,Test_39,"The use of a water filter extends the service life of your appliance. The water filter filters calcium and pollutants out of the tap water. If you use a water filter and change it on a regular basis, you will need to descale the appliance only once per year. This information is based on an average of six 120 ml coffee beverages per day and six filter changes per year. Only use Melitta® Pro Aqua filter cartridges for automatic coffeemakers. Observe the instructions on the packaging of the filter cartridge.",Which filter do I use for my machine?,['Melitta® Pro Aqua filter cartridges'],380
40,Test_40,"Technical data
Operating voltage 220 V to 240 V, 50 Hz to 60 Hz. Power consumption Maximum 1450 W. Pump pressure Static, max. 15 bar. Dimensions (Width Height Depth) 200 mm 352 mm 459 mm. Holding capacity: Bean container 250 g, Water tank 1.5 l. Weight (empty) 7.7 kg. Ambient conditions: Temperature  10°C to 32°C, Relative humidity 30% to 80% (non-condensing).",What is the weight of the machine?,['7.7 kg'],261
41,Test_41,"Technical data
Operating voltage 220 V to 240 V, 50 Hz to 60 Hz. Power consumption Maximum 1450 W. Pump pressure Static, max. 15 bar. Dimensions (Width Height Depth) 200 mm 352 mm 459 mm. Holding capacity: Bean container 250 g, Water tank 1.5 l. Weight (empty) 7.7 kg. Ambient conditions: Temperature  10°C to 32°C, Relative humidity 30% to 80% (non-condensing).",What is the dimension of this machine?,['(Width Height Depth) 200 mm 352 mm 459 mm'],145
42,Test_42,"Technical data
Operating voltage 220 V to 240 V, 50 Hz to 60 Hz. Power consumption Maximum 1450 W. Pump pressure Static, max. 15 bar. Dimensions (Width Height Depth) 200 mm 352 mm 459 mm. Holding capacity: Bean container 250 g, Water tank 1.5 l. Weight (empty) 7.7 kg. Ambient conditions: Temperature  10°C to 32°C, Relative humidity 30% to 80% (non-condensing).",What is the operating voltage of the machine?,"['220 V to 240 V, 50 Hz to 60 Hz']",33
43,Test_43,"Technical data
Operating voltage 220 V to 240 V, 50 Hz to 60 Hz. Power consumption Maximum 1450 W. Pump pressure Static, max. 15 bar. Dimensions (Width Height Depth) 200 mm 352 mm 459 mm. Holding capacity: Bean container 250 g, Water tank 1.5 l. Weight (empty) 7.7 kg. Ambient conditions: Temperature  10°C to 32°C, Relative humidity 30% to 80% (non-condensing).",What is the holding capacity of the water tank?,['1.5 l'],239
44,Test_44,"Technical data
Operating voltage 220 V to 240 V, 50 Hz to 60 Hz. Power consumption Maximum 1450 W. Pump pressure Static, max. 15 bar. Dimensions (Width Height Depth) 200 mm 352 mm 459 mm. Holding capacity: Bean container 250 g, Water tank 1.5 l. Weight (empty) 7.7 kg. Ambient conditions: Temperature  10°C to 32°C, Relative humidity 30% to 80% (non-condensing).",What is the holding capacity of the bean container?,['250 g'],221
45,Test_45,Replacement of the power cable and all other repairs may only be carried out by Melitta® Customer Service or by an authorised repair shop.,Where do I repair the appliance?,['Melitta® Customer Service'],80
46,Test_46,"Do not use the jug in the microwave. Do not place the jug on a hot stove. Do not use the jug to store dairy products or baby food, as there is a risk of bacterial growth. Do not lay the filled jug on its side, as liquid may escape. Clean the outer casing with a soft, damp cloth.",Can I use the jug in the microwave?,['Do not use the jug in the microwave'],0
47,Test_47,"Do not use the jug in the microwave. Do not place the jug on a hot stove. Do not use the jug to store dairy products or baby food, as there is a risk of bacterial growth. Do not lay the filled jug on its side, as liquid may escape. Clean the outer casing with a soft, damp cloth.",Can the jug be placed on a hot stove?,['Do not place the jug on a hot stove'],37
48,Test_48,Depending on water hardness lime scale may build up in the appliance. This increases the appliances energy consumption as lime scale on the heating element can prevent the water heating effectively. To avoid damage the appliance must be descaled regularly. The descaling display helps you in this. If the CALC-button ? is permanently lit this shows that the appliance needs to be descaled.,How do I know when to descale the appliance?,['CALC-button ? is permanently lit '],306
49,Test_49,The appliance is pre-set for a high level of water hardness (level 4). You can find out the level of water hardness in your area by asking your local water provider or by using water hardness measuring strips available in the shops. For softer water the descaling display can be adjusted to descale less often: ,What is the pre-set water hardness level?,['level 4'],61
50,Test_50,The appliance is pre-set for a high level of water hardness (level 4). You can find out the level of water hardness in your area by asking your local water provider or by using water hardness measuring strips available in the shops. For softer water the descaling display can be adjusted to descale less often: ,How do I know the level of my tap water hardness?,['by asking your local water provider or by using water hardness measuring strips'],129
51,Test_51,Please note: Water hardness cannot be programmed while brewing. The last water hardness level chosen remains even after removing the power cable.,Can I program the water hardness while brewing?,['Water hardness cannot be programmed while brewing'],13
52,Test_52,"External cleaning
Switch off the machine before cleaning and disconnect the power cable. Allow the appliance to cool completely before cleaning it. Clean the parts that come into contact with coffee (jug, filter holder, etc.) after each use. The housing can be cleaned with a soft damp cloth. The jug lid, the filter insert and the swing filter ? can be washed in the dishwasher. Do not use harsh or abrasive cleaning agents.",What should the housing be cleaned with?,['a soft damp cloth'],274
53,Test_53,Remove the lid simply by pressing the seals on the side while lifting the lid.,How to remove the lid of the therm jug?,['by pressing the seals on the side while lifting the lid'],22
